# log_a a N_sq rho_coh_frac w_coh
-4.249850e+01 3.492502e-19 1.605556e+01 1.000000e+00 -9.825721e-01
-4.243644e+01 3.716121e-19 1.610764e+01 1.000000e+00 -9.826392e-01
-4.237437e+01 3.954058e-19 1.615969e+01 1.000000e+00 -9.827059e-01
-4.231231e+01 4.207230e-19 1.621171e+01 1.000000e+00 -9.827721e-01
-4.225025e+01 4.476612e-19 1.626369e+01 1.000000e+00 -9.828378e-01
-4.218819e+01 4.763242e-19 1.631564e+01 1.000000e+00 -9.829030e-01
-4.212613e+01 5.068225e-19 1.636756e+01 1.000000e+00 -9.829678e-01
-4.206406e+01 5.392735e-19 1.641945e+01 1.000000e+00 -9.830322e-01
-4.200200e+01 5.738023e-19 1.647131e+01 1.000000e+00 -9.830961e-01
-4.193994e+01 6.105420e-19 1.652313e+01 1.000000e+00 -9.831596e-01
-4.187788e+01 6.496340e-19 1.657492e+01 1.000000e+00 -9.832226e-01
-4.181582e+01 6.912290e-19 1.662668e+01 1.000000e+00 -9.832852e-01
-4.175375e+01 7.354872e-19 1.667841e+01 1.000000e+00 -9.833474e-01
-4.169169e+01 7.825793e-19 1.673010e+01 1.000000e+00 -9.834092e-01
-4.162963e+01 8.326866e-19 1.678177e+01 1.000000e+00 -9.834705e-01
-4.156757e+01 8.860022e-19 1.683340e+01 1.000000e+00 -9.835314e-01
-4.150551e+01 9.427314e-19 1.688500e+01 1.000000e+00 -9.835919e-01
-4.144344e+01 1.003093e-18 1.693656e+01 1.000000e+00 -9.836520e-01
-4.138138e+01 1.067319e-18 1.698810e+01 1.000000e+00 -9.837118e-01
-4.131932e+01 1.135658e-18 1.703960e+01 1.000000e+00 -9.837711e-01
-4.125726e+01 1.208373e-18 1.709107e+01 1.000000e+00 -9.838300e-01
-4.119520e+01 1.285743e-18 1.714251e+01 1.000000e+00 -9.838885e-01
-4.113313e+01 1.368067e-18 1.719392e+01 1.000000e+00 -9.839466e-01
-4.107107e+01 1.455662e-18 1.724529e+01 1.000000e+00 -9.840044e-01
-4.100901e+01 1.548865e-18 1.729664e+01 1.000000e+00 -9.840618e-01
-4.094695e+01 1.648037e-18 1.734795e+01 1.000000e+00 -9.841188e-01
-4.088488e+01 1.753558e-18 1.739923e+01 1.000000e+00 -9.841754e-01
-4.082282e+01 1.865835e-18 1.745048e+01 1.000000e+00 -9.842317e-01
-4.076076e+01 1.985302e-18 1.750169e+01 1.000000e+00 -9.842876e-01
-4.069870e+01 2.112417e-18 1.755288e+01 1.000000e+00 -9.843431e-01
-4.063664e+01 2.247672e-18 1.760403e+01 1.000000e+00 -9.843983e-01
-4.057457e+01 2.391587e-18 1.765515e+01 1.000000e+00 -9.844531e-01
