# x unit_response displaced_response_per_kappa heated_response_per_kappa contrast_response_per_kappa
6.894531250e+01 -4.898573760e-02 -9.797147520e+01 -8.372957839e+01 -1.424189681e+01
6.914062500e+01 -4.900538647e-02 -9.801077294e+01 -8.376316350e+01 -1.424760944e+01
6.933593750e+01 -4.902465426e-02 -9.804930852e+01 -8.379609725e+01 -1.425321127e+01
6.953125000e+01 -4.904355041e-02 -9.808710082e+01 -8.382839577e+01 -1.425870505e+01
6.972656250e+01 -4.906208005e-02 -9.812416010e+01 -8.386006782e+01 -1.426409228e+01
6.992187500e+01 -4.908025231e-02 -9.816050463e+01 -8.389112902e+01 -1.426937560e+01
7.011718750e+01 -4.909807208e-02 -9.819614416e+01 -8.392158772e+01 -1.427455644e+01
7.031250000e+01 -4.911554819e-02 -9.823109637e+01 -8.395145901e+01 -1.427963737e+01
7.050781250e+01 -4.913268527e-02 -9.826537055e+01 -8.398075082e+01 -1.428461973e+01
7.070312500e+01 -4.914949190e-02 -9.829898380e+01 -8.400947778e+01 -1.428950601e+01
7.089843750e+01 -4.916597246e-02 -9.833194492e+01 -8.403764742e+01 -1.429429750e+01
7.109375000e+01 -4.918213525e-02 -9.836427049e+01 -8.406527390e+01 -1.429899659e+01
7.128906250e+01 -4.919798443e-02 -9.839596886e+01 -8.409236435e+01 -1.430360452e+01
7.148437500e+01 -4.921352805e-02 -9.842705609e+01 -8.411893249e+01 -1.430812360e+01
7.167968750e+01 -4.922877005e-02 -9.845754009e+01 -8.414498510e+01 -1.431255499e+01
7.187500000e+01 -4.924371821e-02 -9.848743642e+01 -8.417053546e+01 -1.431690095e+01
7.207031250e+01 -4.925837628e-02 -9.851675256e+01 -8.419558999e+01 -1.432116258e+01
